"","from","to","weight"
"795",55,4,59
"796",31,5,722
"797",30,38,97
"798",53,53,727
"799",31,53,710
"800",1,5,297
"801",31,47,318
"802",8,47,2
"803",8,31,3
"804",151,1,14
"805",85,14,2
"806",98,8,10
"807",169,1,12
"808",37,1,29
"809",116,15,60
"810",123,4,7
"811",31,9,804
"812",39,4,107
"813",39,5,12
"814",7,5,38
"815",30,54,57
"816",107,18,10
"817",38,11,65
"818",41,19,1
"819",32,8,175
"820",148,15,80
"821",30,3,24
"822",58,3,2
"823",4,29,266
"824",53,32,1
"825",35,5,10
"826",94,5,29
"827",18,1,49
"828",136,3,1
"829",92,32,2
"830",101,39,1
"831",8,39,2
"832",31,36,410
"833",18,4,197
"834",30,52,15
"835",15,8,44
"836",8,56,2
"837",91,50,75
"838",49,4,99
"839",113,8,201
"840",169,3,1
"841",93,12,1
"842",7,38,116
"843",51,38,25
"844",44,38,10
"845",197,1,3
"846",98,30,47
"847",58,58,287
"848",31,58,31
"849",30,58,15
"850",28,1,6
"851",24,2,6
"852",22,24,85
"853",88,3,19
"854",15,3,54
"855",10,19,63
"856",24,1,34
"857",41,9,5
"858",57,3,39
"859",7,42,145
"860",45,4,21
"861",6,4,393
"862",9,4,467
"863",31,46,905
"864",47,60,10
"865",31,60,22
"866",31,61,41
"867",10,1,57
"868",62,62,407
"869",32,56,64
"870",146,3,1
"871",91,29,342
"872",7,33,444
"873",86,7,6
"874",15,7,603
"875",37,4,438
"876",4,9,188
"877",11,18,1
"878",32,42,5
"879",155,4,9
"880",86,42,54
"881",15,42,28
"882",3,7,9
"883",66,1,20
"884",15,6,27
"885",30,7,59
"886",86,29,25
"887",15,27,16
"888",65,29,15
"889",29,1,201
"890",64,33,4
"891",65,42,11
"892",8,55,3
"893",57,4,89
"894",38,2,23
"895",91,42,49
"896",71,42,5
"897",13,30,1011
"898",31,54,112
"899",4,54,10
"900",29,33,43
"901",38,29,113
"902",6,65,2
"903",31,65,82
"904",66,66,520
"905",7,47,2
"906",7,30,296
"907",131,4,4
"908",58,1,7
"909",126,1,2
"910",15,11,27
"911",67,67,293
"912",8,44,2
"913",6,1,34
"914",55,1,94
"915",31,66,277
"916",68,1,17
"917",21,38,31
"918",31,69,1
"919",46,42,13
"920",38,42,71
"921",27,70,116
"922",31,70,247
"923",170,54,2
"924",46,14,2
"925",82,4,9
"926",7,55,5
"927",81,6,2
"928",32,27,41
"929",7,23,34
"930",10,30,98
"931",22,7,8
"932",33,14,4
"933",47,14,4
"934",10,14,28
"935",27,14,8
"936",143,30,8
"937",20,4,386
"938",65,1,25
"939",54,7,13
"940",41,33,55
"941",7,14,112
"942",71,71,202
"943",91,71,10
"944",29,38,69
"945",86,4,43
"946",96,29,7
"947",162,1,51
"948",3,31,3
"949",41,7,9
"950",72,72,75
"951",160,1,18
"952",87,28,5
"953",68,18,1
"954",34,67,1
"955",7,27,121
"956",66,29,29
"957",51,29,21
"958",31,67,491
"959",73,73,59
"960",31,73,42
"961",31,55,130
"962",91,27,38
"963",22,1,31
"964",29,27,49
"965",86,6,10
"966",15,33,206
"967",81,42,2
"968",27,6,4
"969",23,38,164
"970",184,1,36
"971",92,5,37
"972",19,29,5
"973",42,38,42
"974",75,75,55
"975",91,11,60
"976",42,1,6
"977",35,7,97
"978",86,3,2
"979",30,42,9
"980",61,7,21
"981",91,7,126
"982",65,46,3
"983",31,63,46
"984",31,62,50
"985",27,29,13
"986",76,76,10
"987",6,7,64
"988",78,78,34
"989",31,32,413
"990",38,4,233
"991",58,4,193
"992",21,28,321
"993",6,27,648
"994",61,29,22
