"","from","to","weight"
"1480",146,4,55
"1481",26,21,7
"1482",92,11,19
"1483",199,1,1
"1484",50,8,5
"1485",141,33,9
"1486",141,4,8
"1487",11,38,28
"1488",49,32,1
"1489",18,33,7
"1490",26,3,2
"1491",8,102,4
"1492",36,65,1
"1493",90,11,3
"1494",64,11,53
"1495",11,10,1
"1496",34,32,1
"1497",119,7,1
"1498",30,111,1
"1499",30,39,93
"1500",13,11,15
"1501",71,3,14
"1502",39,10,9
"1503",30,50,67
"1504",57,115,3
"1505",115,115,5
"1506",144,115,1
"1507",59,29,5
"1508",121,25,7
"1509",46,43,1
"1510",59,1,14
"1511",91,39,90
"1512",10,22,6
"1513",38,45,2
"1514",33,44,4
"1515",24,111,2
"1516",7,111,2
"1517",33,111,2
"1518",43,21,10
"1519",150,4,25
"1520",102,21,6
"1521",72,1,5
"1522",116,42,2
"1523",123,21,10
"1524",32,29,8
"1525",64,24,40
"1526",28,4,125
"1527",56,11,3
"1528",44,8,2
"1529",53,116,73
"1530",9,21,35
"1531",17,30,8
"1532",87,30,42
"1533",43,22,10
"1534",171,4,17
"1535",99,21,3
"1536",16,11,5
"1537",61,30,12
"1538",89,11,2
"1539",19,33,23
"1540",117,21,5
"1541",37,31,61
"1542",7,50,27
"1543",97,30,3
"1544",10,50,15
"1545",114,3,1
"1546",117,1,1
"1547",17,14,4
"1548",146,30,3
"1549",15,67,3
"1550",46,50,108
"1551",12,29,26
"1552",11,30,40
"1553",30,98,63
"1554",64,98,26
"1555",5,11,36
"1556",66,3,4
"1557",17,35,2
"1558",51,8,73
"1559",100,21,9
"1560",58,21,32
"1561",21,11,8
"1562",73,30,6
"1563",22,50,4
"1564",18,50,5
"1565",15,50,3
"1566",130,1,17
"1567",49,33,7
"1568",21,33,17
"1569",61,33,15
"1570",36,33,3
"1571",56,100,5
"1572",35,11,14
"1573",141,21,17
"1574",3,33,5
"1575",183,33,2
"1576",44,30,7
"1577",110,30,3
"1578",11,17,3
"1579",51,17,1
"1580",38,16,3
"1581",111,30,42
"1582",51,33,2
"1583",38,24,41
"1584",9,8,4
"1585",24,27,13
"1586",21,54,8
"1587",66,14,5
"1588",68,30,12
"1589",32,65,12
"1590",47,1,13
"1591",66,4,40
"1592",38,8,311
"1593",131,15,14
"1594",12,7,90
"1595",54,22,3
"1596",51,7,9
"1597",101,30,16
"1598",190,4,10
"1599",11,4,27
"1600",50,4,52
"1601",13,21,179
"1602",30,15,4
"1603",77,92,2
"1604",1,14,7
"1605",170,21,7
"1606",194,33,1
"1607",87,22,7
"1608",62,4,5
"1609",146,21,18
"1610",64,15,27
"1611",75,33,3
"1612",100,11,1
"1613",177,27,1
"1614",57,11,14
"1615",26,11,6
"1616",28,21,7
"1617",57,50,9
"1618",29,50,8
"1619",71,66,1
"1620",57,29,7
"1621",46,29,48
"1622",54,77,3
"1623",11,77,3
"1624",38,77,4
"1625",4,77,5
"1626",44,77,1
"1627",17,77,1
"1628",35,77,2
"1629",57,77,1
"1630",47,50,3
"1631",50,54,3
"1632",66,33,7
"1633",170,31,3
"1634",43,11,1
"1635",5,92,2
"1636",38,66,19
"1637",56,15,39
"1638",30,14,1
"1639",162,4,2
"1640",39,46,1
"1641",38,50,46
"1642",155,33,1
"1643",9,33,23
"1644",46,110,4
"1645",7,65,8
"1646",12,57,3
"1647",154,54,3
"1648",59,33,26
"1649",111,3,10
"1650",37,21,20
"1651",72,30,53
"1652",95,33,8
"1653",49,17,2
"1654",48,3,47
"1655",14,1,6
"1656",25,33,7
"1657",10,7,30
"1658",121,21,10
"1659",130,21,45
"1660",91,53,25
"1661",144,30,3
"1662",25,28,283
"1663",102,8,1
"1664",60,4,6
"1665",61,1,12
"1666",77,11,11
"1667",32,9,9
"1668",22,9,31
"1669",50,30,18
"1670",25,4,114
"1671",7,59,5
"1672",46,21,1
"1673",31,117,2
"1674",1,117,2
"1675",50,1,9
"1676",101,21,4
"1677",55,19,7
"1678",114,4,38
"1679",28,30,31
"1680",1,4,66
"1681",54,19,6
"1682",17,87,1
"1683",10,66,7
"1684",44,66,2
"1685",7,8,24
"1686",9,56,8
"1687",139,11,4
"1688",13,22,34
"1689",116,4,7
"1690",44,11,2
"1691",92,18,7
"1692",101,15,5
"1693",179,102,3
"1694",139,1,22
"1695",190,1,12
"1696",136,1,2
"1697",115,1,2
"1698",50,22,9
"1699",101,80,1
"1700",44,21,5
"1701",19,30,66
"1702",49,15,10
"1703",146,15,2
"1704",95,56,18
"1705",175,7,1
"1706",1,11,41
"1707",4,11,8
"1708",171,38,5
"1709",94,10,2
"1710",90,30,16
"1711",85,21,1
"1712",73,15,1
"1713",158,15,5
"1714",81,33,5
"1715",178,1,10
"1716",55,2,1
"1717",30,104,16
"1718",177,57,13
"1719",15,57,10
"1720",29,11,8
"1721",179,21,4
"1722",53,38,35
"1723",174,11,1
"1724",27,10,1
"1725",38,46,22
"1726",118,24,17
"1727",73,21,2
"1728",42,61,1
"1729",192,30,12
"1730",11,21,4
"1731",7,19,24
"1732",24,19,161
"1733",110,4,4
"1734",93,21,6
"1735",31,118,5
"1736",36,118,3
"1737",50,11,4
"1738",171,33,2
"1739",15,19,7
"1740",33,28,15
"1741",118,118,11
"1742",99,4,14
"1743",47,19,7
"1744",81,21,1
"1745",64,27,10
"1746",134,11,3
"1747",131,22,3
"1748",51,11,6
"1749",2,21,2
"1750",33,21,5
"1751",114,18,1
"1752",35,19,2
"1753",205,21,2
"1754",32,50,13
"1755",44,50,6
"1756",91,97,5
"1757",30,102,3
"1758",6,33,99
"1759",112,11,1
"1760",65,27,1
"1761",1,22,6
"1762",94,102,4
"1763",36,1,20
"1764",3,29,5
"1765",37,29,5
"1766",25,39,14
"1767",94,1,66
"1768",53,29,5
"1769",15,65,2
"1770",30,95,15
"1771",98,18,3
"1772",22,11,1
"1773",136,30,12
"1774",39,30,33
"1775",191,21,1
"1776",122,21,1
"1777",11,73,2
"1778",152,4,23
"1779",49,11,1
"1780",33,55,1
"1781",54,29,11
"1782",10,38,19
"1783",61,19,8
"1784",128,21,1
"1785",31,113,17
"1786",95,4,28
"1787",13,7,43
"1788",63,4,41
"1789",31,116,113
"1790",119,119,30
"1791",34,1,3
"1792",178,33,3
"1793",24,42,5
"1794",30,36,91
"1795",4,24,60
"1796",32,21,30
"1797",27,30,1
"1798",28,39,4
"1799",9,38,8
"1800",62,1,2
"1801",41,41,156
"1802",84,67,4
"1803",27,7,65
"1804",49,13,1800
"1805",139,38,6
"1806",31,120,2
"1807",31,74,6
"1808",51,21,6
"1809",55,24,3
"1810",36,38,8
"1811",15,97,4
"1812",31,97,34
"1813",158,19,2
"1814",33,15,6
"1815",51,16,2
"1816",149,40,1
"1817",145,4,6
"1818",24,20,149
"1819",32,2,3
"1820",26,4,10
"1821",58,39,7
"1822",22,40,27
"1823",23,42,4
"1824",34,92,18
"1825",31,92,17
"1826",24,41,28
"1827",24,38,50
"1828",29,51,4
"1829",178,4,7
"1830",121,121,13
"1831",37,37,152
"1832",20,48,10
"1833",194,39,1
"1834",65,20,108
"1835",7,31,30
"1836",44,122,1
"1837",31,122,1
"1838",31,48,95
"1839",71,4,9
"1840",41,29,4
"1841",101,4,12
"1842",31,108,324
"1843",121,28,13
"1844",123,39,10
"1845",29,5,346
"1846",29,23,6
"1847",34,42,3
"1848",34,10,2
"1849",101,33,4
"1850",142,4,18
"1851",29,62,1
"1852",13,18,45
"1853",10,24,8
"1854",29,10,3
"1855",38,41,1
"1856",54,71,1
"1857",126,71,1
"1858",4,71,1
"1859",93,4,7
"1860",12,23,2
"1861",29,46,3
"1862",73,4,24
"1863",91,34,61
"1864",62,53,2
"1865",114,31,1
"1866",23,53,3
"1867",41,25,1
"1868",128,1,5
"1869",31,87,10
"1870",67,108,1
"1871",51,19,9
"1872",1,39,7
"1873",4,47,30
"1874",37,12,5
"1875",124,124,1
"1876",31,124,1
"1877",91,20,503
"1878",104,4,38
"1879",31,125,25
"1880",168,4,2
"1881",18,55,3
"1882",35,55,1
"1883",18,37,5
"1884",58,54,3
"1885",34,78,1
"1886",31,78,30
"1887",54,23,1
"1888",4,3,3
"1889",115,4,2
"1890",63,1,113
"1891",10,53,3
"1892",13,51,15
"1893",83,7,1
"1894",25,31,10
"1895",4,42,4
"1896",15,100,4
"1897",54,126,1
"1898",127,127,28
"1899",85,4,8
"1900",54,30,70
"1901",31,99,17
"1902",31,128,1
"1903",87,13,31
"1904",119,24,24
"1905",154,13,1
"1906",52,25,2
"1907",105,10,2
"1908",30,129,8
"1909",31,129,7
"1910",13,129,5
"1911",171,9,1
"1912",34,38,63
"1913",24,39,17
"1914",7,116,2
"1915",48,30,35
"1916",80,30,20
"1917",104,30,52
"1918",178,39,1
"1919",135,4,9
"1920",91,63,5
"1921",13,39,56
"1922",64,20,104
"1923",4,36,319
"1924",38,12,38
"1925",142,1,2
"1926",74,4,9
"1927",33,13,14
"1928",16,24,31
"1929",127,30,17
"1930",25,30,44
"1931",18,38,6
"1932",13,36,297
"1933",19,1,11
"1934",46,30,1
"1935",9,20,34
"1936",29,98,2
"1937",48,13,41
"1938",85,13,11
"1939",136,13,2
"1940",108,7,2
"1941",171,13,18
"1942",31,72,19
"1943",1,50,1
"1944",56,50,9
"1945",20,1,203
"1946",51,39,18
"1947",117,30,17
"1948",20,58,5
"1949",91,58,2
"1950",48,58,1
"1951",30,6,2
"1952",38,13,75
"1953",130,130,21
"1954",80,4,19
"1955",3,106,20
"1956",77,22,5
"1957",25,13,43
"1958",13,38,36
"1959",80,20,11
"1960",13,17,3
"1961",15,17,1
"1962",57,39,14
"1963",13,33,30
"1964",44,33,5
"1965",5,39,8
"1966",126,126,7
"1967",180,126,1
"1968",58,126,1
"1969",71,35,2
"1970",55,20,11
"1971",80,39,1
"1972",128,29,1
"1973",33,53,145
"1974",4,53,6
"1975",54,53,1
"1976",74,53,1
"1977",18,53,4
"1978",30,53,1
"1979",9,53,2
"1980",110,53,1
"1981",13,98,10
"1982",36,98,4
"1983",21,98,17
"1984",24,33,6
"1985",24,16,6
"1986",33,20,18
"1987",58,28,203
"1988",134,30,4
"1989",144,29,2
"1990",31,79,4
"1991",39,79,1
"1992",41,16,6
"1993",74,2,11
"1994",5,2,6
"1995",16,4,22
"1996",119,19,5
"1997",38,28,93
"1998",201,28,20
"1999",29,28,7
"2000",60,28,12
"2001",59,28,4
"2002",22,28,2
"2003",47,28,6
"2004",37,30,28
"2005",13,15,8
"2006",15,16,7
"2007",111,31,1
"2008",31,131,9
"2009",131,131,16
"2010",13,9,83
"2011",59,39,6
"2012",132,132,7
"2013",32,33,14
"2014",135,10,5
"2015",18,29,2
"2016",39,54,14
"2017",1,20,26
"2018",111,56,2
"2019",49,7,8
"2020",4,89,1
"2021",13,80,5
"2022",33,31,9
"2023",13,54,18
"2024",141,54,4
"2025",91,44,104
"2026",47,44,43
"2027",150,44,22
"2028",13,28,59
"2029",92,20,1
"2030",133,133,6
"2031",134,134,9
"2032",55,38,20
"2033",61,3,1
"2034",23,3,2
"2035",55,3,4
"2036",48,5,70
"2037",63,21,8
"2038",1,13,54
"2039",9,86,2
"2040",86,86,47
"2041",48,38,15
"2042",28,7,1
"2043",4,13,141
"2044",20,21,71
"2045",70,27,38
"2046",160,9,4
"2047",50,45,2
"2048",119,22,66
"2049",74,30,4
"2050",113,4,5
"2051",3,30,33
"2052",1,74,3
"2053",23,33,1
"2054",72,13,11
"2055",12,24,1
"2056",52,1,8
"2057",21,13,70
"2058",65,13,8
"2059",113,38,5
"2060",31,90,6
"2061",13,90,2
"2062",29,90,5
"2063",59,16,4
"2064",22,16,2
"2065",54,39,11
"2066",101,13,16
"2067",52,46,2
"2068",57,20,27
"2069",31,104,6
"2070",204,4,2
"2071",146,33,5
"2072",4,59,2
"2073",24,59,1
"2074",44,39,4
"2075",98,13,22
"2076",40,4,19
"2077",24,30,101
"2078",135,135,18
"2079",59,30,21
"2080",31,94,25
"2081",91,94,6
"2082",1,94,3
"2083",153,5,33
"2084",57,38,12
"2085",56,38,43
"2086",50,36,13
"2087",56,13,68
"2088",100,127,1
"2089",29,39,38
"2090",20,39,28
"2091",94,38,5
"2092",38,20,103
"2093",190,39,1
"2094",11,35,3
"2095",172,1,4
"2096",46,33,5
"2097",20,16,4
"2098",18,13,32
"2099",121,30,8
"2100",20,5,32
"2101",63,20,27
"2102",30,10,4
"2103",63,3,3
"2104",136,136,9
"2105",81,3,5
"2106",90,29,2
"2107",105,29,1
"2108",85,1,4
"2109",18,39,3
"2110",82,64,1
"2111",20,36,173
"2112",79,9,4
"2113",18,9,4
"2114",15,36,12
"2115",87,36,12
"2116",20,2,2
"2117",85,22,1
"2118",63,22,1
"2119",48,9,7
"2120",38,127,5
"2121",57,22,11
"2122",55,135,2
"2123",137,137,1
"2124",39,38,24
"2125",29,13,98
"2126",177,13,13
"2127",7,102,4
"2128",127,28,36
"2129",20,51,6
"2130",48,51,5
"2131",138,138,2
"2132",89,13,3
"2133",39,20,25
"2134",99,24,8
"2135",4,19,90
"2136",99,13,21
"2137",29,57,7
"2138",56,20,10
"2139",9,24,26
"2140",77,19,2
"2141",65,19,5
"2142",50,19,8
"2143",39,1,28
"2144",67,1,3
"2145",185,21,3
"2146",60,33,21
"2147",16,13,75
"2148",1,81,5
"2149",13,81,7
"2150",9,7,3
"2151",18,31,18
"2152",29,47,17
"2153",30,87,7
"2154",13,87,5
"2155",13,19,73
"2156",91,98,11
"2157",15,13,14
"2158",107,38,1
"2159",15,108,1
"2160",1,23,5
"2161",65,36,9
"2162",20,64,2
"2163",50,38,2
"2164",49,38,21
"2165",11,139,12
"2166",63,5,7
"2167",95,21,7
"2168",160,21,14
"2169",91,108,1
"2170",95,98,2
"2171",40,21,1
"2172",51,98,7
"2173",38,140,1
"2174",64,29,9
"2175",63,9,4
"2176",54,38,3
"2177",129,4,20
"2178",13,63,2
"2179",20,63,13
"2180",24,50,41
"2181",50,31,4
"2182",22,31,5
"2183",1,28,2
"2184",23,28,13
"2185",30,62,4
"2186",38,54,1
"2187",21,40,4
"2188",143,1,12
"2189",101,38,5
"2190",30,51,6
"2191",96,4,1
"2192",19,20,27
"2193",20,19,33
"2194",58,36,8
"2195",119,20,5
"2196",29,56,48
"2197",49,28,2
"2198",150,47,12
"2199",22,20,19
"2200",30,44,88
"2201",13,44,15
"2202",51,30,37
"2203",101,110,1
"2204",122,33,1
"2205",104,13,17
"2206",151,13,3
"2207",21,56,25
"2208",51,77,4
"2209",130,13,4
"2210",38,31,40
"2211",20,87,2
"2212",179,4,15
"2213",36,22,9
"2214",39,127,1
"2215",63,57,125
"2216",82,24,192
"2217",18,56,47
"2218",85,6,1
"2219",20,28,5
"2220",65,40,3
"2221",9,16,1
"2222",47,13,14
"2223",30,48,18
"2224",73,13,3
"2225",58,33,6
"2226",54,36,13
"2227",55,13,12
"2228",116,27,8
"2229",101,20,12
"2230",123,38,7
"2231",82,36,49
"2232",51,24,26
"2233",36,24,54
"2234",17,36,3
"2235",36,56,14
"2236",30,141,1
"2237",137,1,2
"2238",10,13,12
"2239",185,4,5
"2240",13,64,3
"2241",144,7,3
"2242",63,7,1
"2243",41,22,3
"2244",24,9,20
"2245",195,4,4
"2246",56,90,3
"2247",99,46,28
"2248",49,44,2
"2249",16,54,1
"2250",125,13,6
"2251",127,63,4
"2252",13,56,13
"2253",152,33,1
"2254",54,11,17
"2255",94,11,3
"2256",49,10,1
"2257",38,34,32
"2258",91,16,4
"2259",95,16,5
"2260",108,1,3
"2261",29,67,1
"2262",146,20,1
"2263",29,63,5
"2264",63,13,13
"2265",125,1,9
"2266",50,13,16
"2267",44,12,1
"2268",111,6,1
"2269",20,33,14
"2270",25,11,11
"2271",20,11,11
"2272",20,72,2
"2273",31,114,13
"2274",102,56,2
"2275",155,13,13
"2276",64,13,47
"2277",16,20,15
"2278",76,104,2
"2279",13,104,2
"2280",16,39,1
"2281",98,40,7
"2282",20,9,13
"2283",81,30,5
"2284",68,33,3
"2285",21,36,29
"2286",11,20,6
"2287",11,14,3
"2288",19,7,1
"2289",79,4,19
"2290",60,13,29
"2291",11,24,12
"2292",1,16,3
"2293",1,54,4
"2294",13,25,7
"2295",32,13,9
"2296",73,20,42
"2297",90,20,70
"2298",54,50,16
"2299",24,29,39
"2300",9,29,8
"2301",145,33,2
"2302",119,44,1
"2303",39,44,4
"2304",36,2,2
"2305",47,10,1
"2306",138,24,3
"2307",110,40,5
"2308",171,7,2
"2309",92,7,16
"2310",4,51,1
"2311",91,51,4
"2312",71,7,6
"2313",79,30,3
"2314",56,39,6
"2315",10,63,1
"2316",10,6,3
"2317",48,6,5
"2318",56,6,2
"2319",15,38,9
"2320",5,38,17
"2321",63,38,3
"2322",144,13,2
"2323",155,24,2
"2324",20,66,6
"2325",81,2,3
"2326",24,47,1
"2327",119,47,1
"2328",31,26,8
"2329",47,24,13
"2330",30,143,4
"2331",19,143,1
"2332",13,10,11
"2333",51,36,5
"2334",13,47,6
"2335",35,56,15
"2336",56,29,74
"2337",13,77,2
"2338",101,36,5
"2339",57,13,22
"2340",60,24,11
"2341",22,13,232
"2342",116,116,26
"2343",9,13,26
"2344",145,56,5
"2345",111,13,28
"2346",30,59,26
"2347",19,59,1
"2348",29,59,1
"2349",20,49,6
"2350",56,19,15
"2351",48,20,17
"2352",59,24,1
"2353",54,24,21
"2354",86,2,1
"2355",13,49,16
"2356",35,49,1
"2357",15,98,12
"2358",49,98,7
"2359",149,98,1
"2360",149,56,38
"2361",1,7,12
"2362",194,4,2
"2363",99,38,2
"2364",157,30,9
"2365",33,1,17
"2366",133,5,9
"2367",166,24,2
"2368",38,106,8
"2369",174,106,4
"2370",7,11,10
"2371",48,36,4
"2372",28,36,62
"2373",119,10,1
"2374",57,5,30
"2375",3,38,3
"2376",73,16,1
"2377",91,59,4
"2378",20,44,1
"2379",44,56,11
"2380",6,55,1
"2381",15,31,3
"2382",4,87,2
"2383",44,5,6
"2384",124,4,2
"2385",104,38,2
"2386",77,30,3
"2387",87,21,7
"2388",54,13,9
"2389",80,24,12
"2390",116,7,22
"2391",19,40,12
"2392",16,36,7
"2393",196,31,6
"2394",35,24,4
"2395",33,47,36
"2396",97,33,2
"2397",13,59,3
"2398",86,13,2
"2399",37,28,2
"2400",20,38,47
"2401",10,20,11
"2402",27,20,4
"2403",181,33,5
"2404",29,9,20
"2405",23,31,72
"2406",56,95,122
"2407",7,95,15
"2408",152,95,1
"2409",127,25,1
"2410",189,4,1
"2411",17,7,13
"2412",114,1,9
"2413",80,28,11
"2414",43,32,1
"2415",127,24,4
"2416",82,13,11
"2417",9,5,12
"2418",155,39,3
"2419",58,20,27
"2420",20,47,1
"2421",141,141,15
"2422",91,141,1
"2423",40,9,1
"2424",41,5,46
"2425",92,2,1
"2426",13,37,9
"2427",49,73,1
"2428",66,20,9
"2429",4,144,8
"2430",20,118,1
"2431",13,32,56
"2432",141,20,6
"2433",145,145,14
"2434",68,13,4
"2435",63,33,6
"2436",24,31,5
"2437",21,31,11
"2438",30,43,17
"2439",65,38,5
"2440",36,20,94
"2441",25,20,17
"2442",24,11,4
"2443",18,11,6
"2444",29,18,3
"2445",29,6,18
"2446",123,40,11
"2447",50,56,11
"2448",30,146,2
"2449",29,40,1
"2450",160,40,9
"2451",155,22,11
"2452",97,39,3
"2453",74,11,19
"2454",58,18,1
"2455",106,106,55
"2456",47,106,1
"2457",35,40,8
"2458",80,1,3
"2459",127,4,2
"2460",43,4,19
"2461",72,22,4
"2462",58,13,57
"2463",22,19,19
"2464",99,2,4
"2465",51,2,2
"2466",13,2,6
"2467",29,12,11
"2468",147,147,31
"2469",87,5,1
"2470",10,23,1
"2471",121,36,1
"2472",130,22,1
"2473",125,4,2
"2474",38,19,27
"2475",133,11,3
"2476",10,11,8
"2477",92,30,1
"2478",111,22,73
"2479",157,22,3
"2480",48,21,16
"2481",5,13,41
"2482",31,147,15
"2483",77,13,9
"2484",148,148,14
"2485",35,16,1
"2486",102,16,2
"2487",68,9,6
"2488",20,22,14
"2489",25,36,5
"2490",4,28,61
"2491",114,28,6
"2492",101,24,7
"2493",144,1,2
"2494",36,5,43
"2495",31,106,7
"2496",114,19,2
"2497",20,62,4
"2498",91,62,1
"2499",152,44,1
"2500",27,31,3
"2501",51,20,12
"2502",82,20,147
"2503",29,92,1
"2504",73,56,2
"2505",132,65,2
"2506",99,30,56
"2507",5,94,7
"2508",50,24,8
"2509",92,38,6
"2510",170,4,7
"2511",31,139,2
"2512",82,49,10
"2513",38,49,3
"2514",37,24,20
"2515",33,36,1
"2516",1,36,17
"2517",134,2,4
"2518",187,21,1
"2519",39,36,2
"2520",106,5,12
"2521",54,5,59
"2522",20,57,16
"2523",53,27,11
"2524",55,50,31
"2525",21,39,5
"2526",13,125,13
"2527",13,73,4
"2528",160,13,10
"2529",130,11,1
"2530",55,46,1
"2531",19,13,15
"2532",108,19,1
"2533",27,38,16
"2534",5,36,53
"2535",137,4,1
"2536",72,36,4
"2537",102,24,10
"2538",42,7,27
"2539",24,5,8
"2540",59,22,50
"2541",21,43,6
"2542",15,43,5
"2543",10,43,2
"2544",101,5,5
"2545",30,93,2
"2546",136,70,4
"2547",100,4,5
"2548",147,4,3
"2549",21,2,2
"2550",17,38,2
"2551",147,30,5
"2552",19,43,2
"2553",29,43,2
"2554",141,30,7
"2555",57,17,2
"2556",19,15,3
"2557",147,21,5
"2558",38,52,4
"2559",18,52,1
"2560",91,147,1
"2561",24,147,1
"2562",36,16,4
"2563",131,56,13
"2564",49,19,11
"2565",16,19,56
"2566",17,20,14
"2567",118,20,87
"2568",5,24,14
"2569",7,54,1
"2570",25,54,3
"2571",107,20,1
"2572",102,20,3
"2573",17,5,30
"2574",93,43,1
"2575",84,34,2
"2576",78,34,3
"2577",18,24,6
"2578",38,139,7
"2579",35,139,1
"2580",79,22,1
"2581",21,20,34
"2582",27,33,5
"2583",16,22,8
"2584",144,33,3
"2585",157,21,12
"2586",16,5,4
"2587",56,65,1
"2588",79,65,1
"2589",46,12,7
"2590",91,127,1
"2591",58,127,1
"2592",30,127,1
"2593",31,127,4
"2594",181,4,2
"2595",135,33,1
"2596",19,28,19
"2597",24,65,3
"2598",31,145,7
"2599",185,1,1
"2600",18,7,11
"2601",61,20,1
"2602",6,20,3
"2603",92,13,22
"2604",32,70,1
"2605",91,139,3
"2606",13,95,2
"2607",22,38,7
"2608",22,73,1
"2609",56,73,4
"2610",190,30,3
"2611",40,43,1
"2612",68,15,2
"2613",48,19,8
"2614",13,57,14
"2615",3,57,8
"2616",58,5,6
"2617",10,108,1
"2618",161,24,1
"2619",150,6,4
"2620",66,30,5
"2621",176,1,1
"2622",147,91,5
"2623",64,28,9
"2624",39,28,14
"2625",92,28,16
"2626",15,28,2
"2627",9,28,3
"2628",68,28,10
"2629",113,28,1
"2630",38,53,13
"2631",152,30,15
"2632",109,13,1
"2633",115,13,6
"2634",32,95,233
"2635",63,17,1
"2636",13,16,25
"2637",77,38,2
"2638",104,22,15
"2639",51,22,5
"2640",185,95,1
"2641",172,5,5
"2642",95,40,13
"2643",20,125,3
"2644",30,125,14
"2645",98,95,17
"2646",149,149,11
"2647",4,149,1
"2648",71,27,61
"2649",48,24,13
"2650",20,54,6
"2651",24,54,3
"2652",157,20,5
"2653",50,20,6
"2654",160,20,1
"2655",138,22,3
"2656",42,31,5
"2657",194,30,5
"2658",65,31,7
"2659",27,3,1
"2660",37,16,11
"2661",97,28,1
"2662",33,24,50
"2663",97,9,2
"2664",19,50,6
"2665",22,29,21
"2666",156,30,5
"2667",93,7,3
"2668",12,13,5
"2669",13,50,10
"2670",76,13,2
"2671",24,36,41
"2672",30,150,6
"2673",57,150,2
"2674",24,56,18
"2675",37,20,1
"2676",158,30,2
"2677",67,29,4
"2678",29,37,3
"2679",7,43,2
"2680",7,67,4
"2681",91,67,2
"2682",37,15,29
"2683",3,21,2
"2684",160,33,2
"2685",41,18,1
"2686",81,13,10
"2687",23,27,9
"2688",3,20,8
"2689",36,11,1
"2690",123,56,13
"2691",71,62,1
"2692",101,56,2
"2693",146,7,3
"2694",36,21,7
"2695",114,20,2
"2696",54,20,23
"2697",44,20,12
"2698",58,50,1
"2699",9,31,11
"2700",117,4,1
"2701",139,4,7
"2702",20,65,5
"2703",13,3,6
"2704",32,98,2
"2705",117,20,6
"2706",186,20,24
"2707",19,36,2
"2708",44,13,16
"2709",30,40,7
"2710",4,27,7
"2711",55,27,7
"2712",24,32,2
"2713",3,24,6
"2714",152,25,2
"2715",88,5,33
"2716",10,37,4
"2717",61,37,3
"2718",65,11,2
"2719",54,28,2
"2720",179,39,2
"2721",50,21,7
"2722",22,36,1
"2723",47,114,3
"2724",25,38,7
"2725",33,40,2
"2726",22,25,1
"2727",26,20,1
"2728",151,5,5
"2729",24,58,3
"2730",53,3,1
"2731",47,3,1
"2732",65,7,3
"2733",37,13,27
"2734",28,52,1
"2735",38,51,2
"2736",33,19,14
"2737",146,38,16
"2738",39,31,5
"2739",80,36,2
"2740",48,33,10
"2741",4,49,3
"2742",118,13,9
"2743",17,31,15
"2744",94,19,1
"2745",4,82,3
"2746",64,82,3
"2747",131,95,27
"2748",4,95,1
"2749",102,50,3
"2750",44,3,4
"2751",146,13,2
"2752",11,65,5
"2753",114,12,1
"2754",81,9,3
"2755",62,27,4
"2756",7,46,73
"2757",72,28,35
"2758",69,27,7
"2759",6,30,11
"2760",66,13,8
"2761",35,21,2
"2762",6,9,1
"2763",28,80,5
"2764",94,4,6
"2765",166,20,4
"2766",76,4,1
"2767",106,4,1
"2768",102,31,2
"2769",111,39,1
"2770",106,11,1
"2771",48,2,5
"2772",27,125,1
"2773",12,31,5
"2774",119,13,7
"2775",29,34,3
"2776",55,29,11
"2777",21,9,2
"2778",59,7,4
"2779",69,20,1
"2780",104,33,1
"2781",101,27,2
"2782",92,34,5
"2783",119,40,4
"2784",158,33,2
"2785",20,50,2
"2786",65,50,2
"2787",17,22,3
"2788",24,64,30
"2789",179,30,10
"2790",102,29,3
"2791",170,56,2
"2792",30,147,8
"2793",79,13,1
"2794",21,35,1
"2795",28,35,1
"2796",59,13,2
"2797",98,28,6
"2798",95,54,1
"2799",171,30,3
"2800",146,5,23
"2801",6,51,4
"2802",65,59,2
"2803",44,59,1
"2804",4,56,12
"2805",31,123,3
"2806",132,1,5
"2807",31,144,1
"2808",49,22,2
"2809",171,12,1
"2810",49,21,28
"2811",154,28,4
"2812",115,28,3
"2813",10,36,6
"2814",36,13,32
"2815",73,31,9
"2816",146,1,15
"2817",90,7,1
"2818",32,57,3
"2819",38,6,7
"2820",38,40,7
"2821",61,4,23
"2822",3,13,12
"2823",42,65,1
"2824",25,10,4
"2825",170,1,4
"2826",111,20,6
"2827",178,20,1
"2828",149,95,7
"2829",101,42,2
"2830",12,42,12
"2831",152,28,3
"2832",171,20,3
"2833",5,3,27
"2834",102,38,7
"2835",129,95,17
"2836",157,4,7
"2837",128,31,2
"2838",117,110,1
"2839",13,23,2
"2840",15,35,1
"2841",61,39,6
"2842",7,28,15
"2843",56,5,18
"2844",59,20,8
"2845",60,20,3
"2846",42,125,1
"2847",10,5,3
"2848",38,146,1
"2849",13,146,3
"2850",1,146,1
"2851",119,30,14
"2852",12,125,2
"2853",7,125,1
"2854",32,19,2
"2855",46,19,1
"2856",113,9,2
"2857",119,108,1
"2858",54,9,3
"2859",4,57,3
"2860",19,3,1
"2861",52,13,2
"2862",116,3,2
"2863",18,20,8
"2864",130,20,8
"2865",73,19,6
"2866",11,13,4
"2867",139,30,1
"2868",33,10,1
"2869",150,10,3
"2870",29,31,173187
"2871",64,9,1
"2872",44,19,2
"2873",92,39,1
"2874",48,39,5
"2875",86,57,1
"2876",7,57,5
"2877",65,5,24
